date,amount,category,description
2026-02-20,420.0,Groceries,small supermarket run
2026-02-20,165.0,Transport,metro top up
2026-02-21,320.0,Cafe,coffee and cake
2026-02-21,890.0,Groceries,vegetables and chicken
2026-02-22,760.0,Entertainment,movie and popcorn
2026-02-22,240.0,Transport,taxi ride home
2026-02-23,1290.0,Bills,internet payment
2026-02-23,540.0,Groceries,milk bread fruit
2026-02-24,410.0,Cafe,lunch near campus
2026-02-24,680.0,Health,pharmacy order
2026-02-25,2500.0,Shopping,new backpack
2026-02-25,190.0,Transport,bus and metro
2026-02-26,970.0,Groceries,weekly groceries
2026-02-26,460.0,Cafe,pizza with friends
2026-02-27,350.0,Entertainment,streaming subscription
2026-02-27,720.0,Bills,mobile plan
2026-02-28,610.0,Groceries,market near home
2026-02-28,230.0,Transport,taxi to station
2026-03-01,430.0,Cafe,breakfast out
2026-03-01,1180.0,Health,doctor visit
2026-03-02,860.0,Groceries,meat and vegetables
2026-03-02,175.0,Transport,metro top up
2026-03-03,520.0,Cafe,canteen lunch
2026-03-03,1450.0,Bills,electricity and water
2026-03-04,680.0,Groceries,fruit and snacks
2026-03-04,990.0,Entertainment,concert ticket
2026-03-05,160.0,Transport,bus card
2026-03-05,3400.0,Shopping,spring shoes
2026-03-06,950.0,Groceries,supermarket run
2026-03-06,370.0,Cafe,coffee after class
2026-03-07,760.0,Health,vitamins and shampoo
2026-03-07,210.0,Transport,taxi in rain
2026-03-08,1250.0,Groceries,family dinner ingredients
2026-03-08,840.0,Entertainment,bowling night
2026-03-09,510.0,Cafe,sushi lunch
2026-03-09,690.0,Bills,cloud storage
2026-03-10,730.0,Groceries,eggs cheese bread
2026-03-10,180.0,Transport,metro ride
2026-03-11,580.0,Cafe,cafe study session
2026-03-11,1120.0,Health,dentist payment
2026-03-12,990.0,Groceries,weekly grocery basket
2026-03-12,240.0,Transport,train ticket
2026-03-13,460.0,Entertainment,museum and coffee
2026-03-13,2750.0,Shopping,sports clothes
2026-03-14,810.0,Groceries,market vegetables
2026-03-14,390.0,Cafe,burger and tea
2026-03-15,1680.0,Bills,home internet and phone
2026-03-15,170.0,Transport,metro top up
2026-03-16,920.0,Groceries,fresh food for week
2026-03-16,640.0,Health,pharmacy refill
2026-03-17,560.0,Cafe,dinner with friends
2026-03-17,215.0,Transport,taxi home
2026-03-18,1010.0,Groceries,supermarket run
2026-03-18,530.0,Entertainment,cinema ticket
